Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
AttenGo,https://www.crunchbase.com/organization/attengo,2006-01-01,day,AttenGo designs a platform online that provides adults and children that suffer from attention-deficit (hyperactive) disorder and other learning disabilities with clinically-proven neuro-cognitive training to help treat them.,"E-Learning, Ediscovery, EdTech, Education, Health Care","Herzliya, Tel Aviv, Israel",AttenGo designs a platform online that provides persons with learning disabilities with clinically-proven neuro-cognitive training.,"1,685,774"
Sagol Brain Institute,https://www.crunchbase.com/organization/sagol-brain-institute,,,,"Health Care, Health Diagnostics, Medical","Tel Aviv, Tel Aviv, Israel","Sagol Brain Institute is a research center that provides neuromodulation, brain imaging, neurological interfaces, and plasticity services.","1,713,253"
MentAI,https://www.crunchbase.com/organization/mentai,2021-01-01,year,,"Health Care, Sensor","Tel Aviv, Tel Aviv, Israel","MentAI is a digital platform that provides emotional wellness by using sensors, behavioral data, and tools to improve their mental strength.","1,725,745"
Goaceit,https://www.crunchbase.com/organization/goaceit,2017-01-01,year,"Go aceit is a dynamic, interactive, and personalized web app that trains the user to master the mental side of performance. Performance is dramatically affected by a lack of self-awareness, self-confidence, and the inability to cope with stress. These soft skills are underdeveloped yet crucial to a person’s success and well-being. Between the ages of 15-25, there is a concentration of performance moments that can cause acute stress.","Health Care, Wellness","Tel Aviv, Tel Aviv, Israel","Goaceit is a dynamic, interactive and personalized web app that trains the user to master the mental side of performance.","1,727,235"
iBuddy,https://www.crunchbase.com/organization/ibuddy,,,"iBuddy is a platform that promotes a kid's safety against social antivirus and cyberbullying. It is dedicated to make a positive change and solve the biggest and constantly growing problem of today's youth, a problem that will shape their future. The company is a team of people in a variety of areas such as business management, entrepreneurship, machine learning, cyberpsychology, clinical psychology, children empowerment and education, and parental guiding.","Artificial Intelligence (AI), Child Care, Children, Cyber Security, Information Technology","Beersheba, HaDarom, Israel",iBuddy is an AI-powered personal assistant for children that is able to agnostically recognize cyber threats and improper behavior.,"1,755,175"
The Sport Psychology Center,https://www.crunchbase.com/organization/the-sport-psychology-center,2010-01-01,year,,"Psychology, Sports, Therapeutics, Training","Ra'anana, HaMerkaz, Israel",The Sport Psychology Center develops therapeutic programs and offers mental training for athletes.,"1,770,025"
SynCath NeuroScience,https://www.crunchbase.com/organization/syncath-neuroscience,,,,"Medical, Neuroscience","Herzliya, Tel Aviv, Israel",SynCath Neuroscience is a preclinical stage MedTech startup.,"1,791,244"
Nathan,https://www.crunchbase.com/organization/nathan-2c9c,,,,"Elder Care, Health Care, Mental Health, Rehabilitation","Ramat Gan, Tel Aviv, Israel","Nathan is a nursing company that offers elderly care, mental health, and rehabilitation services.","1,792,165"
The Social and Affective Neuroscience Lab,https://www.crunchbase.com/organization/the-social-and-affective-neuroscience-lab,2012-01-01,year,,"Education, Life Science, Non Profit","Haifa, Hefa, Israel",The Social and Affective Neuroscience Lab is an organization that focuses on the cognitive and emotional consequences of brain pathologies.,"1,807,816"
ApexNano Medical,https://www.crunchbase.com/organization/apexnano-medical,2016-06-01,day,ApexNano Medical is an innovative medical nanotechnology company that develops a Technology for Electromagnetic Targeted Homing of Nano-drug. The company was founded in 2016 by Dov V Shimon.,"Medical, Nanotechnology, Neuroscience","Herzliya, Tel Aviv, Israel",ApexNano Medical is a medical nanotechnology company that develops a technology for electromagnetic targeted homing of Nano-drug.,"1,841,729"
IDD Therapeutics,https://www.crunchbase.com/organization/idd-therapeutics,2010-01-01,year,"IDD Therapeutics Ltd. is a drug development company for cancer therapy. The IDD Therapeutics main focus is improving specificity, safety and efficacy of an existing non-specific cancer treatments and protocols. Our unique and novel proprietary discovery platform, Intelligent Learning Engine (ILE®) is being used to build up a diverse pipeline of products. ILE® powerful technology was employed to design targeted small molecule New Therapeutic Entity (NTE) for cancer therapy. Our main focus is improving specificity, safety and NTEs, with multifunctional Mechanism of Action towards specific biological targets in the tumor cells (ILE® molecular activity indexing). The first innovative compound is a targeted, multifunctional Mode of Action (MoA), NTE consisting of neuro-protective anti-oxidant moiety. IDD-1040 is a small molecule and synthesized in a one-step chemical procedure, demonstrating a unique PK, superior efficacy and safety. Additional drug candidates, IDD-1010 and IDD-2010, are being developed and currently at the early preclinical stage. IDD Therapeutics operates within New Generation Technology (NGT) incubator, funded by the Israeli Office of Chief Scientist and private capital.","Health Care, Medical, Therapeutics","Nazareth, HaZafon, Israel",Anti-Cancer Drugs and Drug Discovery Platform,"1,850,691"
kmoEye,https://www.crunchbase.com/organization/kmoeye,2012-01-01,year,"kmoEye makes the abundant visual content 'financially' valuable. It automatically analyzes visual content and makes it available in a way that dramatically increases business and revenues opportunities. kmoEye's computerized vision technology is based on decades of a pioneering research in the fields of the human brain and its visual system. The resulting technolgy simulates the human visual system, enabling an utmost level of visual interpretation.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Robotics","Haifa, Hefa, Israel",kmoeye’s goal is to provide an artificial vision technology. This technology is an outcome of research in neurophysiology and holography.,"1,859,263"
ANeuSTART,https://www.crunchbase.com/organization/aneustart,2019-01-01,day,"ANeuSTART is a nutrient-based personalized action plan for children with autism spectrum disorder. Each of the company's plan is made to a child's unique biochemistry in order to improve their overall functioning. ANeuSTART develops a noninvasive, at-home diagnostic kit that identifies which biological pathways are impacting nutritional flow to the brain, impairing its function. The algorithm combines the results from the diagnostic kit with the patient's health history, current symptoms, and diet.","Child Care, Health Care, Health Diagnostics, Nutrition, Wellness","Rehovot, HaMerkaz, Israel",ANeuSTART is a nutrient-based personalized action plan for children with autism spectrum disorder.,"1,870,848"
Nibs,https://www.crunchbase.com/organization/nibs,2013-03-01,month,"NIBS NeuroScience Technologies develops a novel and innovative algorithm based system with trademark design for monitoring and treatment of brain disorders, utilizing non-invasive brain stimulation technology. NIBS is currently conducting multi center clinical trials for utilizing developed algorithm based system for diagnosis and treatment of neuropathic pain. Their technology and expertise enables a deep understanding of neuropathological processes for developing and designing a system targeted at detecting network abnormalities based on neuronal properties and application of neurostimulation treatment for treating neuronal disorders such as neuropathic pain.","Health Care, Simulation","Zur Moshe, HaMerkaz, Israel","Nibs develops a system for monitoring and treating brain disorders, utilizing non-invasive brain stimulation technology.","1,890,353"
Tipulog,https://www.crunchbase.com/organization/tipulog,2009-01-01,year,"Tipulog"" is a state of the art cleverly designed, highly secure on line notes management  application for therapy related fields. It is a solution able to accommodate practices and organizations of any size, setup for solo and multi-provider practices,  and has features designed specifically to handle one or more providers in the fields of psychiatry, psychology, expressive therapy, allied health  professions, alternative medicine, life coaching etc.","Health Care, Information Technology, Software","Tel Aviv, Tel Aviv, Israel",Management systems for therapy related fields,"1,955,247"
Cognitive Spark,https://www.crunchbase.com/organization/cognitive-spark,,,,"Consulting, Mobile Apps, Software, Web Development","Tel Aviv-yafo, Tel Aviv, Israel","Cognitive Spark specializes in web development and software solutions, focusing on project development and building offshore teams.","1,961,112"
Productive Labs,https://www.crunchbase.com/organization/productive-labs,,,"Productive Labs Com LTD is a software company that aims to simplify the startup process. They focus on making the process more accessible and manageable for everyone. The company also emphasizes mindful productivity, understanding that maintaining mental health is crucial in achieving more. They have created the Productivity Lab, a tool designed to assist in analyzing workforce productivity. The company believes in the potential of remote work, with data suggesting that a majority of workers feel more productive when working remotely.","Database, Software, UX Design, Web Development","Ramat Gan, Tel Aviv, Israel",Productive Labs is a software company that simplifies the startup process and promotes mindful productivity.,"1,989,494"
Dear Lili,https://www.crunchbase.com/organization/dear-lili,2016-09-28,day,,"E-Commerce, Health Care, Internet, Medical, Mental Health","Tel Aviv, Tel Aviv, Israel",Dear Lili is an online therapy,"1,995,203"
Ixtlan Bioscience,https://www.crunchbase.com/organization/ixtlan-bioscience,2020-02-04,day,Ixtlan Bioscience is an Israeli based biotech company devoted to defining and utilizing psilocybin micro-dosing in order to find a new and better class of mental health therapies for brain pathologies. Our mission is to advance safe and accessible psychedelic medicine to slow down the progression of Alzheimer’s and dementia diseases.,"Biotechnology, Health Care","Caesarea, Hefa, Israel",Ixtlan Bioscience focused on developing psilocybin-based treatment for Alzheimer's Disease and Brain Pathologies.,"2,014,388"
Visior Technologies Ltd.,https://www.crunchbase.com/organization/visior-technologies-ltd,2013-05-05,day,,"Health Care, Medical Device","Agudat Israel, HaDarom, Israel","A clinical stage medical device startup, developing Eye & Brain stimulation solutions for treating common Eye Diseases and Brain","2,041,994"
Jung,https://www.crunchbase.com/organization/jung,2016-01-01,day,"Jung is a stealth mode neuroscience startup that focuses on the field of the nervous system. It specializes in the study of the brain, spinal cord, and networks of sensory nerve cells. The company was founded in 2016 and headquartered in Tel Aviv, Israel.","Medical, Medical Device, Neuroscience","Tel Aviv, Tel Aviv, Israel",Jung is a stealth mode neuroscience startup that specializes in the nervous system.,"2,044,237"
Referante,https://www.crunchbase.com/organization/referante,2016-01-01,day,"Referante is a sports company that provides a training platform that serves as a simulator for football referees. Its platform utilizes customizes performance analysis, cognitive enhancement, and full body measurements.  The company was founded in 2017 and headquartered in HaMerkaz, Israel.","EdTech, Fantasy Sports, Sports, Training","Beit Zayit, HaMerkaz, Israel",Referante is a sports company that provides a training platform that serves as a simulator for football referees.,"2,117,722"
Fullest,https://www.crunchbase.com/organization/fullest,2018-05-01,day,"Fullest is a mobile application that connects the users to their values, strengths, and the impact they want to achieve in life. It leverages the latest research in Positive Psychology and neuroscience to weave positive interventions into the fabric of daily life.","Mobile Apps, Psychology, Social Network","Tel Aviv, Tel Aviv, Israel",Fullest is a mobile application that offers a platform for people to be empowered through social journaling.,"2,124,623"
Ginat Geshem,https://www.crunchbase.com/organization/ginat-geshem,2020-01-01,year,,"Child Care, Children, Non Profit, Psychology","Kfar Yona, HaMerkaz, Israel",Ginat Geshem is a nonprofit organization that curates programs dedicated to fulfilling the hobbies of children on the autistic spectrum.,"2,124,969"
Fresh Podcast Network,https://www.crunchbase.com/organization/fresh-podcast-network,2020-06-01,day,"Fresh podcast network is a leading Israeli based podcast network aiming to be the leading force in the podcast ecosystem in the midd east. We develop original shows in Hebrew, Arab and English in various topics such as business, life stile,  culinary, entertainment, psychology and many more.",Podcast,"Tel Aviv, Tel Aviv, Israel",Fresh podcast network is a leading Israeli based podcast network aiming to be the leading force in the podcast ecosystem in the midd east,"2,141,843"
HybRead,https://www.crunchbase.com/organization/hybread,2013-01-01,year,"HybRead is new way of reading articles on any device. Their aim is to help people with ADHD (Attention Deficit Hyperactivity Disorder) read articles and stay focused while doing so. HybRead's novel way of presenting articles focuses the reader on a specific paragraph rather than an entire article, while constantly indicating progress and location. HybRead offers a selection of amazing tools for visual and cognitive processing that help make the most out of every article.","Education, Health Care","Herzliya, Tel Aviv, Israel",Reading Platfrom for People with ADHD,"2,145,133"
FitBox,https://www.crunchbase.com/organization/fitbox-d946,2016-01-01,year,,"Fitness, Training, Wellness","Haifa, Hefa, Israel","FitBox is a physical fitness center that provides physical, mental, and social development services.","2,167,242"
Beit Ham,https://www.crunchbase.com/organization/beit-ham,1997-01-01,year,,"Health Care, Rehabilitation, Therapeutics, Training","Beit-shemesh, Yerushalayim, Israel",Beit Ham is a healthcare organization that provides mental rehabilitation and therapy services.,"2,176,646"
Menso Mentis,https://www.crunchbase.com/organization/menso-mentis,2018-01-01,day,"Menso Mentis develops innovative in-clinic VR platforms to help people with mental disabilities re-adjust to daily functions. It utilizes immersive environments, which are practiced within a therapeutic setting. The environments offer a variety of simulations that allow the user to practice the tasks and activities of daily living, including interpersonal interactions and stress-provoking situations, within a safe environment in the presence of the therapist. The experience enables the user to gain confidence, enhancing social skills, and interpersonal capabilities.","Health Care, Medical Device, Therapeutics, Virtual Reality, Wellness","Haifa, Hefa, Israel",Menso Mentis develops innovative in-clinic VR platforms to help people with mental disabilities re-adjust to daily functions.,"2,182,360"
Asio Advanced Control Solutions,https://www.crunchbase.com/organization/asio-advanced-control-solutions,2018-01-01,year,"Asio develops advanced control technology, intended to provide real-time monitoring for maritime facilities, ships, and offshore facilities. The company specializes in biomimicking how the brain analyses and filters multiple vision queues to deliver next-gen technology to monitor maritime facilities, mimicking cognitive processes for visual data reliable utilization, allowing any port or terminal to increase its operational efficiency and safety using already deployed standard camera systems.",Marine Technology,"Tel Aviv, Tel Aviv, Israel","Asio develops advanced control technology, intended to provide real-time monitoring for maritime facilities, ships, and offshore facilities.","2,187,885"
Roots,https://www.crunchbase.com/organization/roots-3261,2007-01-01,year,"Roots involves in organizational consulting and development in business, public and social organizations. They offer guidance in processes of change and growth at three levels as follows processes for the development of people, teams, and organizations. Their services include training and continuing education courses, group processes and workshops, integration into employment and career development, positive psychology and the strengths approach, lectures, and knowledge centers.","Consulting, Continuing Education, Human Resources, Training","Modi'in, HaMerkaz, Israel",Roots is an organizational consulting and development company.,"2,220,456"
Yowza,https://www.crunchbase.com/organization/yowza-2,2013-01-01,year,"Yowza develops technologies for shape-based search and recognition of 3D content. Its technology removes linguistic barriers of existing text and image search and enables shape based search, on any type of 3D content, in any format.  Through modeling of human cognition of shape they enable computers to understand shape the way they do. For the first time, computers can not only see shape, they can perceive it. This has endless applications and will revolutionize 3D content industries such as e-commerce (product data), augmented / virtual reality (navigation, shape search), enterprise and industrial product design (CAD/CRP/PDM), robotics (robotic vision) and 3D printing.","Augmented Reality, Computer, Enterprise Software, Hardware, Information Technology, Software, Virtual Reality","Tel Aviv, Tel Aviv, Israel",YOWZA ENABLES COMPUTERS TO UNDERSTAND THEIR ENVIRONMENT AND RESPOND TO IT.,"2,241,089"
TreatMee,https://www.crunchbase.com/organization/treatmee,2018-04-01,day,"TreatMee develops an application that connects the elderly and their families. Through the app, the relatives can be updated anytime they want, about the mental and physical status of the elder, manage the daily schedule and stay connected.","Elder Care, Elderly, Health Care, mHealth, Mobile Apps, Social Media","Petah Tikwah, HaMerkaz, Israel",TreatMee develops an application that connects the elderly and their families.,"2,293,247"
Mada Al-Carmel,https://www.crunchbase.com/organization/mada-al-carmel,2000-01-01,year,,"Association, Communities, Non Profit","Haifa, Hefa, Israel","Mada Al-Carmel is a non-profit research institution that offers studies, liberal psychology, and postgraduate student support programs.","2,413,743"
eSistence Virtual Interaction,https://www.crunchbase.com/organization/esistence-virtual-interaction,2012-01-01,year,Esistence provides the next generation free dialogue ChatBot. It provides a platform that is capable of conducting free format & intelligent conversations.,"Artificial Intelligence (AI), Chatbot, Crowdsourcing, Customer Service, Machine Learning, Messaging, Neuroscience","Tel Aviv, Tel Aviv, Israel",ESistence Virtual Interaction offers a free dialogue chatbot.,"2,427,051"
Aug-Mental,https://www.crunchbase.com/organization/aug-mental,2016-09-01,month,"Increasing Workforce Productivity through Detection of Depression Patterns Aug-Mental helps increase workforce productivity through early intervention for employees who exhibit patterns of depression. Aug-Mental develops a behavior-monitoring tool that will detect early signs of depression via integration of mobile and wearable device sensor data with NLP analysis of messenger and social network data, and subsequently alerts their healthcare providers. The company aims to provide first-time depression alerts (pre-diagnosis), which can help diagnose and treat otherwise undiagnosed cases.",B2B,"Tel Aviv-yafo, Tel Aviv, Israel",Aug-Mental helps increase workforce productivity through early intervention for employees who exhibit patterns of depression.,"2,440,041"
Cog-Fun,https://www.crunchbase.com/organization/cog-fun,,,,"Consulting, Health Care, Non Profit","Jerusalem, Yerushalayim, Israel","Cog-Fun is a nonprofit organization that provides consulting on parenting, occupation, interpersonal relationships, leisure, and studies.","2,470,288"
Get Help Israel,https://www.crunchbase.com/organization/get-help-israel,2016-01-01,year,,"Health Care, Mental Health, Personal Health, Therapeutics","Agudat Israel, HaDarom, Israel","Get Help Israel offers psychiatrics counseling and therapies for anxiety, depression, eating disorders, and other mental health issues.","2,482,055"
TreTone,https://www.crunchbase.com/organization/tretone,2003-01-01,year,"TreTone is an essential tool for occupational therapists and music therapists, tretone sets the stage for a challenging, rewarding and emotionally moving journey for therapists and patients alike. You will be amazed by the simplicity and intuitiveness of making contact and unleashing creativity while meeting all therapy goals with TreTone. TreTone is highly suitable for treating children and adults with cognitive, intellectual and developmental disabilities, like cerebral palsy, developmental delay, autism and autism spectrum disorders, as well as for patients recovering from neurological trauma. Utilizing humans' most basic abilities and the underlying principles of music therapy, tretone makes the generation of music accessible to all. ","Health Care, Music","Haifa, Hefa, Israel",TreTone is an essential tool for occupational therapists and music therapists,"2,495,313"
Targeted Modulated Sound Therapy,https://www.crunchbase.com/organization/targeted-modulated-sound-therapy,2016-01-01,year,"TMST (targeted modulated sound therapy) uses specific sound frequencies in the audible range to tune brain activity that has gone off synch. Their first target is spasticity, involuntary muscle contractions produced by imbalanced brain activity– and associated with cerebral palsy, stroke, MS, partial spinal cord injury, traumatic brain injury. Proprietary TMST devices will have a life changing impact on millions of adults and children suffering from spasticity and other CNS-related disorders.","Biotechnology, Health Care","Jerusalem, Yerushalayim, Israel",TMST uses specific sound frequencies in the audible range to tune brain activity that has gone off synch. ,"2,528,915"
mAIndo,https://www.crunchbase.com/organization/maindo,,,,"Artificial Intelligence (AI), Publishing","Tel Aviv, Tel Aviv, Israel",mAIndo develops tools for creating content using AI and neuroscience.,"2,557,733"
Hug and Dug,https://www.crunchbase.com/organization/hug-and-dug,2014-01-01,year,"Founded by two caring parents with the assistance of a team of psychologists, speech therapists, and preschool teachers, Hug and Dug was created to give something more meaningful to children in today’s digital world. Their mission is to create apps for children that are tailored specifically to their developmental and cognitive abilities. In short, they make fun, educational games for kids that parents love too. These apps are carefully, and thoughtfully created to suit toddlers’ and preschoolers’ motor, sensory, perceptual and cognitive developmental levels.","E-Learning, Education, Gaming","Tel Aviv-yafo, Tel Aviv, Israel",Enhancing Cognitive Skills Through Play,"2,571,254"
PValueHR,https://www.crunchbase.com/organization/pvaluehr,,,PValueHR developed innovative Psychology-AI-based platforms that enable organizations to sort candidates through a quick diagnosis and to predict the degree of job performance contribution.,"Artificial Intelligence (AI), Information Technology, Software","Tel Aviv, Tel Aviv, Israel",PValueHR developed innovative Psychology-AI-based platforms.,"2,587,152"
Neanic Healthineers & Consultant Private Limited,https://www.crunchbase.com/organization/neanic-healthineers-consultant-private-limited,,,We Provide Best Class Healthcare Tech-Management Services.Cardiac-Neuro Catheterization Lab Pipeline Projects Research & Development Respiratory/Cardiology/Neurology/Anesthesiology/Radiation & Radioactivity .,,"Herzliya, Tel Aviv, Israel",We Provide Best Class Healthcare Tech-Management Services.Cardiac-Neuro Catheterization Lab Pipeline Projects Research & Development.,"2,676,518"
Bioimmunate,https://www.crunchbase.com/organization/bioimmunate-technologies,2014-01-01,day,"Bioimmunate is a medical device company that offers a breakthrough precision blood filtering medical technology for select autoimmune diseases. Its platform technology has initial focus on the treatment of patients with multiple sclerosis or MS. Specific MS-related cells that migrate from the blood to the brain cause brain damage from MS. It has developed biological filters anchored inside special particles that are able to recognize, capture, and remove these harmful cells from the patient’s blood before they reach the central nervous system. It seeks to improving the quality of life of patients with autoimmune diseases, seeking to provide safer, more cost-effective therapies without side effects. Its main research and development laboratory is in the BioGiv Center at the Hebrew University in Jerusalem.","Health Care, Health Diagnostics, Personal Health, Therapeutics, Veterinary, Wellness","Jerusalem, Yerushalayim, Israel",Bioimmunate offers a precision blood filtering medical technology for select autoimmune diseases.,"2,685,629"
Abracadabra Robotics,https://www.crunchbase.com/organization/abracadabra-robotics,2014-01-01,year,"Abracadabra robotics developed Abracadabra Social Interaction Assistant (AbSIA) - therapeutic robot for long-term motoric and cognitive rehabilitation, especially at home. They will give stroke survivors an intensive engaging activity platform to assist in the rehabilitation process, for use for at-home or assisted living use. Stroke survivors will be able to interact with various connected devices within their living environment, while the robotic technology will use artificial intelligence to accommodate and encourage individuals, based on their ad-hoc and long term needs.","Rehabilitation, Robotics, Therapeutics","Kfar Saba, HaMerkaz, Israel",Therapeutic robot for motoric and cognitive rehabilitation.,"2,694,832"
PsychoMaster,https://www.crunchbase.com/organization/psychomaster,,,,"Medical, Psychology","Haifa, Hefa, Israel","PsychoMaster provides a perfect psychometric course, including quality video and books.","2,698,438"
Do 4 Brain,https://www.crunchbase.com/organization/do-4-brain,2015-01-01,day,"Do4Brain is a science-backed cognitive training program for brain researchers to improve concentration and memory. The program consists of daily three-minute sessions. Five days a week, the company sends several tasks to the subscriber’s mobile phone for immediate execution.  Do4Brain harnesses scientific insight from the field of brain research together with advanced technological knowledge, and offers a user-friendly application, with the purpose of enabling deep and broad improvement in brain function. Do4Brain’s program presents the brain with unpredictable experiences by targeting different types of brain function (sensory, cognitive, and motor) within the context of the user’s familiar living environment.","Apps, Health Care, Wellness","Migdal, HaZafon, Israel",Do4Brain is a science-backed cognitive training program for brain researchers to improve concentration and memory.,"2,704,078"
NeuroPet,https://www.crunchbase.com/organization/neuropet,2019-11-01,day,,"Pet, Retail","Herzliya, Tel Aviv, Israel",NeuroPet developed a novel brain activity for Pets which in real time enable to know feelings and thought.,"2,713,396"
Makshivim Net,https://www.crunchbase.com/organization/makshivim-net,2008-01-01,day,Makshivim Net is a project that supports mental health via the internet.,"Health Care, Internet, Mental Health, Wellness","Binyamina, Hefa, Israel",Makshivim Net is a project that supports mental health via the internet.,"2,725,557"
Mixers,https://www.crunchbase.com/organization/mixers,2011-06-21,day,"Mixers, disruptive for the old-fashioned online dating industry, makes the outdated, slow and textual way of meeting people online irrelevant! Today, online first-time communication between individuals prevents the opportunity to obtain a real-life first impression. The Twitter generation is all about agility, speed, social connections and fun and this is exactly what Mixers finally gives them.  Mixers creates a focused and a personal one-on-one live video chats, allowing consumers to use their social skills and meet relevant partners to their needs. Mixers unique features and attributes Unique user experience – fast and taking advantage of human social capabilities –Video chats Learning algorithm, improvement of the matching over time and usage 3 level's matching algorithm:  	Rigid criteria's Personality traits  Crowed wisdom: Collaborative filtering (CF) and Peer based learning","Apps, Psychology, Social Media","Ramat Gan, Tel Aviv, Israel",Mixers provides one-on-one live video chatting services for consumers to use their social skills and meet prospective partners.,"2,750,313"
Zinuk Schools,https://www.crunchbase.com/organization/zinuk-schools,2008-01-01,year,,"Education, Psychology, Training","Tel Aviv, Tel Aviv, Israel",Zinuk Schools provides psychometric and matriculation education services.,"2,780,019"
Medic Value,https://www.crunchbase.com/organization/medic-value,2012-01-01,year,"MedicValues’ Personal Digital Guardian is based on the idea that electronic behavior, as any behavior, is based on habits and routines. MedicValues’ Personal Digital Guardian is able to alert you and your person of choosing if your behavior is changed, and thus enable you to take better care for you when you need it, before things gets worse. How does Personal Digital Guardian work? Utilizing common used devices such as smartphones, Home PC’s etc.; it is easy to create a pattern of the digital trail each of us leaves behind him. All this accumulates to behavioral information that can be analyzed using sophisticated aIgorithms. The data is analyzed to recognize out of the regular behavioral patterns that precedes deterioration in our mental state. The system will  also alert once it recognizes changes in the person’s behavioral patterns, while the person is supposed to be in a state of remission, as a sign of a coming episode.","Health Care, Medical","Tel Aviv-yafo, Tel Aviv, Israel",Personal Digital Guardian from Alcohol,"2,816,901"
Mental Heal,https://www.crunchbase.com/organization/mental-heal,2013-01-01,year,"Mental-Heal by Abital, is developing a novel oral antipsychotic drug, PGW-5, for the treatment of Schizophrenia and Bipolar disorder. PGW-5 is a novel neuroleptic, multi-target agent which is potentially effective for the treatment of the Positive and Negative Symptoms of Schizophrenia as well as, for Cognitive Deficits and Mood Disorder. The possible mechanisms underlying the differential effects of the drugs may involve the brain glutamate NMDA (N-Methyl-D-Aspartate receptor) system as well as neurotrophic factors and food intake regulating peptides. Early scientific work in animal models has shown that PGW-5 has anxiolytic and antidepressant activity and improvement of impaired social performance in PCP treated mice.","Biotechnology, Health Care, Health Diagnostics, Medical","Tel Aviv-yafo, Tel Aviv, Israel",Antipsychotic Treatment of Schizophrenia & Mood Disorders,"2,819,401"
Neuro vision,https://www.crunchbase.com/organization/neuro-vision,,,"The NeuroVision technology is a non-invasive, patient-specific, perceptual learning program based on visual stimulation. NeuroVision technology improves quality of vision (contrast sensitivity and visual acuity) by enhancing neural processing in the primary visual cortex.","Education, Health Care, Medical","Modi'in, HaMerkaz, Israel","The NeuroVision technology is a non-invasive, patient-specific, perceptual learning program based on visual stimulation.","2,846,444"
Brainster,https://www.crunchbase.com/organization/brainster-israel,2014-01-01,day,"Brainster is a digital marketing cloud-based system which provides online commercials analysis upon marketers request. It uses a technology that relies on the latest academic research and unique proprietary algorithms. Through mobile and affordable EEG caps, Brainster collects EEG and eye-tracking information from targeted audiences and provide automated client reports based on cognitive and emotional indexes. Brainster was founded in 2014 and is based in Kfar-Saba, Israel.","Analytics, Digital Marketing, Marketing, Software","Kfar Saba, HaMerkaz, Israel",Brainster is a digital marketing cloud-based system which provides online commercials analysis upon marketers request.,"2,918,624"
Salute Rehab,https://www.crunchbase.com/organization/salute-rehab,2015-05-01,day,"Salute Rehab develops a therapy technology for rehabilitation following stroke or neurological impairments. Its device, Intuitive Neuro-Motion Learning, offers a viable, cost-effective, at-home solution for post-stroke patients and those suffering from other neurological disorders. Its intuitive, patent-pending technology applies an adjustable linear resistive force throughout the full swing of the affected limb. The linear force increases the proprioceptive feedback to the spinal cord and brain, providing limb muscles with an improved signal, resulting in rapid improvement in the limb’s movement.","Alternative Medicine, Clinical Trials, Health Care, Wearables, Wellness","Tel Aviv, Tel Aviv, Israel",Salute Rehab develops a therapy technology for rehabilitation following stroke or neurological impairments.,"2,928,260"
A-muse,https://www.crunchbase.com/organization/a-muse,2016-09-01,day,"A-muse is a therapeutic solution designed to treat a wide range of cognitive and physical disabilities. A-muse develops a therapeutic solution that helps health facilities in increasing patients' motivation for therapy by using music and technology. The station translates movement into sound, providing an engaging, effective, and enjoyable therapeutic solutions for patients. The company's solution is designed to address a wide range of cognitive and physical disorders by using unique sensing technology.","Health Care, Medical, Medical Device, Motion Capture","Tel Aviv, Tel Aviv, Israel",A-muse is a therapeutic solution designed to treat a wide range of cognitive and physical disabilities.,"2,957,099"
Sagol Center for Brain and Mind,https://www.crunchbase.com/organization/sagol-center-for-brain-and-mind,2009-01-01,year,"The Sagol Center for Brain and Mind is a unique research center operating at the School of Psychology at the IDC Herzeliya, which was founded and is run by Dr. Nava Levit Binnun. The driving force for the founding of the center was the realization that professional, public and political decisions bearing a crucial and long-term influence on brain development and functioning and on physical and mental well-being both at the individual and at the societal level ignore the ample knowledge accrued over the past years about brain functioning and human psychology, and are sometimes even opposed to good practices derived from this knowledge.",Association,"Herzliya, Tel Aviv, Israel",A unique research center operating at the School of Psychology at the IDC Herzeliya,"2,987,489"
Katkuti,https://www.crunchbase.com/organization/katkuti,2013-01-01,day,"Katkuti is a computer software company that utilizes a collection of educational mobile applications. It specializes in application development that enables children to reach their cognitive and learning potential and create an educational experience for children. The company was founded in 2013 and headquartered in Hefa, Israel.","Apps, EdTech, Education, Software","Baqa Al Gharbiya, Hefa, Israel",Katkuti is a computer software company that utilizes a collection of educational mobile applications.,"2,995,846"
Tetrax,https://www.crunchbase.com/organization/tetrax-israel,1992-03-01,day,"Tetrax FB is a medical company that specializes in detecting neurophysiological and neuro-disturbances. It provides information based on the dynamics of the neuro-physiological and musculoskeletal functions that are involved in the control of human balance. The company was founded in 1992 and is headquartered in Yerushalayim, Israel.","Health Diagnostics, Medical, Medical Device","Jerusalem, Yerushalayim, Israel",Tetrax FB is a medical company that specializes in detecting neurophysiological and neuro-disturbances.,"2,998,011"
The Learning Works,https://www.crunchbase.com/organization/the-learning-works,2009-02-01,day,"The LearningWorks provides various educational programs geared towards smart and curious kids. They emphasize teamwork, engage the whole brain, and put kids in the driver's seat of their education.","Consulting, Education","Jerusalem, Yerushalayim, Israel",The LearningWorks provides various educational programs geared towards smart and curious kids.,"3,016,362"
